name,education,skills,skill_proficiency,contact,social_profiles,location,preferred_locations,preferred_fields,avoid_fields,preferred_mode,preferred_stipend,projects,experience_level,resume_text,saved_jobs,applied_jobs,rejected_jobs,interviewed_jobs,genre_time_spent,genre_clicks,location_time_spent,location_clicks,career_goal,last_active,activity_score,candidate_id
Kabir Rastogi,"BBA Hospitality, 2nd Year","['Customer Service', 'Communication', 'Event Coordination']","{'Customer Service': 0.88, 'Communication': 0.84}","{'email': 'kabir.rastogi@example.com', 'phone': '9876123409'}","{'linkedin': 'https://linkedin.com/in/kabirr', 'github': ''}",Goa,"['Goa', 'Mumbai']","['Hospitality', 'Customer Relations']",['Technical'],onsite,11000.0,['Event Management Internship with Hotel Club Vista'],intermediate,"Hospitality and management student with strong interpersonal skills and experience assisting in event coordination programs. I have worked as a student volunteer in several resort-level events, where I handled guest inquiries, table reservations, and on-ground coordination. My coursework includes hospitality operations, front desk management, and customer psychology. I am skilled at addressing customer concerns professionally and ensuring smooth operations during peak hours. I enjoy interacting with diverse groups of people and creating positive guest experiences. Through practical training sessions, I have developed strong organizational abilities, time management, and team collaboration skills. I aim to contribute to hospitality roles that require customer handling, event support, and operational excellence.","['JOB_058', 'JOB_034']",['JOB_034'],[],['JOB_034'],{'hospitality': 17.3},{'hospitality': 12},{'Goa': 8.6},{'Goa': 5},Become a Guest Relations Manager,2025-01-20T09:55:00,0.78,candidate_13
Pooja Nair,"B.Sc Computer Science, 3rd Year","['C++', 'Data Structures', 'Operating Systems']","{'C++': 0.82, 'Data Structures': 0.86}","{'email': 'pooja.nair@example.com', 'phone': '9988012345'}","{'linkedin': 'https://linkedin.com/in/poojanair', 'github': 'https://github.com/poojanair'}",Kochi,"['Bangalore', 'Chennai']","['Software Engineering', 'Backend Development']",['Sales'],remote,13000.0,"['Hospital Management System in C++', 'Threading Simulation Program']",intermediate,"Driven computer science student with strong theoretical and practical understanding of OS concepts, data structures, and programming paradigms. I have implemented multiple C++ projects focusing on memory management, multithreading, and algorithmic performance. My academic journey has included system-level assignments, scheduling simulations, and data structure optimization tasks. I actively participate in coding contests and problem-solving clubs that strengthen my logical reasoning and competitive coding abilities. I enjoy working on low-level programming challenges and exploring how system components interact internally. I am comfortable with Git, Linux environments, and debugging tools. My goal is to contribute to software engineering teams that value clean code, reliability, and system efficiency.","['JOB_016', 'JOB_057']",['JOB_016'],[],[],{'software': 20.4},{'software': 16},{'Bangalore': 9.9},{'Bangalore': 4},Become a Software Engineer,2025-01-20T13:20:00,0.82,candidate_14
Farhan Ali,"B.Com Finance, 2nd Year","['MS Excel', 'Financial Analysis', 'Tally']","{'MS Excel': 0.88, 'Financial Analysis': 0.8}","{'email': 'farhan.ali@example.com', 'phone': '9090876543'}","{'linkedin': 'https://linkedin.com/in/farhana', 'github': ''}",Mumbai,"['Mumbai', 'Pune']","['Finance', 'Investment Research']",['Marketing'],onsite,10000.0,['Stock Price Analysis Report'],beginner,"Finance student with strong aptitude for financial calculations, market analysis, and investment basics. I have worked on academic projects involving company valuation and stock performance comparison using Excel. I possess solid understanding of accounting principles and financial reporting. I enjoy studying market trends and evaluating companies based on fundamental indicators. I am proficient in preparing spreadsheets, charts, and financial summaries with accuracy. Strong numerical ability and disciplined work habits help me maintain high-quality documentation. I am seeking opportunities in finance roles that involve research, valuation assistance, or financial modeling.","['JOB_023', 'JOB_110']",['JOB_023'],[],[],{'finance': 16.3},{'finance': 14},{'Mumbai': 7.8},{'Mumbai': 4},Become a Financial Analyst,2025-01-19T18:55:00,0.73,candidate_15
Tanisha Gupta,"B.A Sociology, Final Year","['Research', 'Report Writing', 'Social Analysis']","{'Research': 0.84, 'Report Writing': 0.89}","{'email': 'tanisha.gupta@example.com', 'phone': '9876004321'}","{'linkedin': 'https://linkedin.com/in/tanishag', 'github': ''}",Delhi,['Delhi'],"['Research', 'Social Work']",['Technical'],onsite,7000.0,['Community Education Outreach Study'],intermediate,"Sociology student with strong analytical and research-focused mindset. I have conducted multiple field research projects involving interviews, surveys, and social observation. My academic journey has helped me develop deep understanding of social structures, cultural dynamics, and community behavior. I am skilled at conducting literature reviews and preparing well-structured research papers. I enjoy interacting with diverse groups of people and learning about social patterns. My strengths include clear writing, structured analysis, and maintaining ethical research standards. I am seeking roles in research, community work, or social support organizations where I can contribute meaningful insights.","['JOB_060', 'JOB_056']",['JOB_060'],[],[],{'research': 19.1},{'research': 16},{'Delhi': 10.2},{'Delhi': 6},Become a Social Researcher,2025-01-20T12:40:00,0.81,candidate_16
Vikram Bhat,"B.Tech Civil Engineering, 2nd Year","['AutoCAD', 'Structural Drawing', 'Site Analysis']","{'AutoCAD': 0.8, 'Site Analysis': 0.75}","{'email': 'vikram.bhat@example.com', 'phone': '9099099091'}","{'linkedin': 'https://linkedin.com/in/vikramb', 'github': ''}",Mangalore,"['Bangalore', 'Mangalore']","['Civil Engineering', 'Construction']",['Sales'],onsite,9000.0,['Bridge Load Analysis Model'],beginner,"Civil engineering student with solid understanding of construction materials, structural concepts, and surveying techniques. I have created multiple AutoCAD drawings for academic assignments including building layouts and road alignment diagrams. My coursework includes structural analysis, environmental engineering, and fluid mechanics. I have participated in on-site visits organized by my college where I observed foundation work, reinforcement layout, and material testing. I enjoy studying how civil structures are designed, constructed, and maintained. I am disciplined, detail-oriented, and capable of documenting measurements and observations accurately. I am seeking civil engineering internships that involve drawing work, field assistance, or structural analysis support.","['JOB_109', 'JOB_047']",['JOB_109'],[],[],{'civil': 12.3},{'civil': 8},{'Mangalore': 6.2},{'Mangalore': 3},Become a Structural Engineer,2025-01-19T16:50:00,0.72,candidate_17
Rhea D'Souza,"B.A Mass Communication, 3rd Year","['Video Editing', 'Script Writing', 'Communication']","{'Video Editing': 0.87, 'Script Writing': 0.84}","{'email': 'rhea.dsouza@example.com', 'phone': '9876509876'}","{'linkedin': 'https://linkedin.com/in/rhead', 'github': ''}",Mumbai,['Mumbai'],"['Video Editing', 'Content Production']",['Finance'],remote,10000.0,['Short Documentary Film'],intermediate,"Mass communication student with strong experience in video editing, scriptwriting, and content conceptualization. I have edited multiple college-level documentary films, interviews, and promotional videos using Adobe Premiere Pro and DaVinci Resolve. I enjoy crafting compelling visual stories that connect emotionally with the audience. My curriculum includes media studies, broadcast journalism, and production techniques. I have worked with student media clubs where I managed video shoots, editing timelines, and file organization. I am detail-oriented, creative, and skilled at handling tight deadlines. I aim to join a content or media production team where I can grow into a professional video editor.","['JOB_001', 'JOB_106']",['JOB_001'],['JOB_020'],[],{'video': 20.1},{'video': 18},{'Mumbai': 9.5},{'Mumbai': 5},Become a Video Editor,2025-01-21T15:40:00,0.88,candidate_18
Harshit Rawat,"B.Tech Electrical Engineering, 2nd Year","['Circuit Design', 'Matlab', 'Soldering']","{'Circuit Design': 0.82, 'Matlab': 0.78}","{'email': 'harshit.rawat@example.com', 'phone': '9000012345'}","{'linkedin': 'https://linkedin.com/in/harshitr', 'github': ''}",Dehradun,"['Delhi', 'Dehradun']","['Electrical Engineering', 'R&D']",['Marketing'],onsite,10000.0,['Smart Energy Meter Prototype'],beginner,"Electrical engineering student passionate about circuit design, testing, and embedded systems. I have built simple prototypes involving sensors, microcontrollers, and analog circuits. My coursework includes signals, systems, control engineering, and power electronics. I enjoy experimenting with circuit layouts and testing different configurations to optimize performance. I have experience using MATLAB and simulation tools to model electrical systems. I am disciplined, technically curious, and willing to take up challenging engineering tasks. I aspire to gain practical experience through engineering internships that involve real-world electrical systems.","['JOB_057', 'JOB_046']",['JOB_057'],[],[],{'electrical': 14.4},{'electrical': 9},{'Delhi': 6.2},{'Delhi': 3},Become an Electrical Engineer,2025-01-18T17:20:00,0.68,candidate_19
Shruti Jaiswal,"MBA Marketing, 1st Year","['Market Research', 'Brand Strategy', 'Content Planning']","{'Market Research': 0.86, 'Brand Strategy': 0.79}","{'email': 'shruti.jaiswal@example.com', 'phone': '9812309876'}","{'linkedin': 'https://linkedin.com/in/shrutij', 'github': ''}",Noida,"['Noida', 'Gurgaon']","['Marketing', 'Brand Consulting']",['Technical'],hybrid,13000.0,['Consumer Behavior Analysis for FMCG Brand'],intermediate,"Energetic marketing student with deep interest in brand management, consumer psychology, and market strategy. I have led multiple marketing case studies where I analyzed market gaps, customer pain points, and competitive positioning. My coursework includes advertising, digital marketing, consumer behavior, and strategic management. I have assisted in developing social media strategies for student clubs, engaging audiences with promotional content and storytelling. I enjoy analyzing brand communication patterns and identifying areas for market growth. I aim to contribute to a marketing team where I can work on branding, research, and campaign ideation.","['JOB_017', 'JOB_038']",['JOB_017'],[],[],{'marketing': 21.3},{'marketing': 17},{'Noida': 9.5},{'Noida': 6},Become a Brand Strategist,2025-01-20T14:20:00,0.85,candidate_20
Kunal Sharma,"BCA, 1st Year","['HTML', 'CSS', 'JavaScript']","{'HTML': 0.78, 'JavaScript': 0.7}","{'email': 'kunal.sharma@example.com', 'phone': '9012345678'}","{'linkedin': 'https://linkedin.com/in/kunals', 'github': 'https://github.com/kunals'}",Indore,"['Indore', 'Pune']","['Web Development', 'Frontend']",['Finance'],remote,7000.0,"['Landing Page Website', 'Basic JS Calculator']",beginner,Motivated computer applications student with strong interest in web development and UI design. I have built basic responsive websites and practiced JavaScript fundamentals through hands-on exercises. I enjoy learning from online tutorials and building small projects that help reinforce coding concepts. I participate in coding clubs and online challenges to strengthen my problem-solving skills. I am committed to improving my frontend skills and aspire to grow into a professional web developer.,['JOB_030'],['JOB_030'],[],[],{'frontend': 16.4},{'frontend': 12},{'Indore': 5.9},{'Indore': 3},Become a Web Developer,2025-01-21T10:15:00,0.71,candidate_21
Ananya Mukherjee,"B.A Economics, 2nd Year","['Statistical Analysis', 'Excel', 'Research']","{'Statistical Analysis': 0.86, 'Excel': 0.81}","{'email': 'ananya.mukherjee@example.com', 'phone': '9090901122'}","{'linkedin': 'https://linkedin.com/in/ananyam', 'github': ''}",Kolkata,"['Kolkata', 'Delhi']","['Economics Research', 'Data Analytics']",['Customer Support'],hybrid,11000.0,['Economic Impact Assessment Model'],intermediate,"Economics student with strong analytical skills and passion for research-driven problem solving. I have worked on academic models involving inflation, unemployment patterns, and market dynamics. I am proficient in using Excel for statistical calculations, trend analysis, and visualization. I enjoy reading economic policy papers and summarizing insights into clear written formats. My strengths include research methodology, structured thinking, and data interpretation. I am eager to work in roles that involve economic research, policy analysis, or business analytics.","['JOB_056', 'JOB_023']",['JOB_056'],[],[],"{'research': 14.7, 'data': 10.2}","{'research': 8, 'data': 4}",{'Kolkata': 8.6},{'Kolkata': 4},Become an Economist,2025-01-19T15:50:00,0.78,candidate_22
Yashwant Rao,"B.Tech Computer Science, Final Year","['Java', 'Spring Boot', 'SQL', 'Microservices']","{'Java': 0.88, 'Spring Boot': 0.82, 'SQL': 0.86}","{'email': 'yashwant.rao@example.com', 'phone': '9876102345'}","{'linkedin': 'https://linkedin.com/in/yashwantrao', 'github': 'https://github.com/yashwantrao'}",Bhopal,"['Bangalore', 'Pune']","['Backend Development', 'Software Engineering']",['Design'],remote,17000.0,"['Hotel Management System', 'Spring Boot REST API Boilerplate']",intermediate,"Final-year computer science student with strong backend development experience using Java and Spring Boot. I have built multiple REST API applications, including authentication systems and microservice components. My projects demonstrate solid understanding of layered architecture, dependency injection, and database design using SQL. I actively solve problems on coding platforms where I improve my logic and algorithmic thinking. I work well in structured development environments and write clean, maintainable code with unit tests. My experience includes integrating third-party APIs, optimizing DB queries, and configuring CI/CD pipelines for academic projects. I am eager to contribute to backend engineering teams working on robust, scalable systems.",['JOB_016'],['JOB_016'],[],['JOB_016'],{'backend': 22.4},{'backend': 16},{'Bangalore': 11.2},{'Bangalore': 5},Become a Senior Backend Developer,2025-01-21T12:40:00,0.89,candidate_23
Ritika Sen,"MBA HR, 2nd Year","['Talent Acquisition', 'HR Strategy', 'Training & Development']","{'Talent Acquisition': 0.86, 'Training & Development': 0.82}","{'email': 'ritika.sen@example.com', 'phone': '9912345670'}","{'linkedin': 'https://linkedin.com/in/ritikasen', 'github': ''}",Kolkata,"['Kolkata', 'Delhi']","['HR', 'Talent Acquisition']",['Finance'],hybrid,12000.0,['HR Engagement Model Study'],intermediate,"Human resources management student with hands-on experience in recruitment, employee engagement, and organizational communication. I have assisted in screening resumes, coordinating interviews, and managing HR documentation for college events. My coursework includes performance management, labor laws, and HR analytics, enhancing my understanding of strategic HR functions. I enjoy working with people, resolving conflicts, and promoting positive workplace culture. I am skilled in conducting employee feedback assessments and preparing detailed process improvement reports. My strengths include empathy, structured communication, and strong organizational abilities. I hope to join a team that values collaborative HR operations and continuous learning.","['JOB_019', 'JOB_008']",['JOB_019'],[],[],{'hr': 15.4},{'hr': 12},{'Kolkata': 7.9},{'Kolkata': 4},Become an HR Business Partner,2025-01-20T16:10:00,0.82,candidate_24
